last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Steckenrider, Drew,R,93.3,,,86.4,,,36.1
Solomon, Peter,R,93.3,,23.6,,,,90.6
Barlow, Joe,R,93.2,,,,,35.7,52.4
Mears, Nick,R,93.2,,,,,,65.7
Heasley, Jon,R,93.1,,,80.9,,,67.5
Smyly, Drew,L,93.1,,54.2,,,,19.5
Moore, Matt,L,93,,63.8,91.4,,,54.7
Harvey, Hunter,R,92.9,,,,,,70.4
Rodríguez, Richard,R,92.8,,,,,52,
Anderson, Tyler,L,92.8,94.9,40.6,89.8,,,
Acevedo, Domingo,R,92.8,,,98.9,,39.8,
Mejía, Humberto,R,92.8,97.6,,82.8,,27.1,
Dayton, Grant,L,92.8,,,,,,65
Milone, Tommy,L,92.7,,,85.7,,27,32.5
Wisler, Matt,R,92.7,,,,,46.2,
Plesac, Zach,R,92.7,,,85.5,,36.9,42.8
Heuer, Codi,R,92.6,,,84.7,,26.8,
McKenzie, Triston,R,92.5,,,93.8,,32,59.2
Hembree, Heath,R,92.5,,,,,47.5,
Brebbia, John,R,92.4,,,,,37.6,
Clippard, Tyler,R,92.4,93.2,,90.1,,,55.7
Nola, Aaron,R,92.4,96.1,30.6,88.5,,,84.8
Albers, Andrew,L,92.3,96.6,,82.3,,22.9,66.6
Rogers, Josh,L,92.3,,,81.3,,16,
Brothers, Rex,L,92.3,,,,,12,
Mayers, Mike,R,92.3,,51.2,,,18,
Brogdon, Connor,R,92.2,,56.2,94.1,,,
Lowther, Zac,L,92.1,,,87.5,,61.4,92.6
Gallegos, Giovanny,R,92.1,,,92.4,,12.2,
Nelson, Nick,R,92.1,,,88.6,,48.2,
Stanek, Ryne,R,92,,,,,17.8,
Sulser, Cole,R,92,,,78.7,,28.4,87.2
Jackson, Andre,R,92,,,80.3,,42.1,
Duffy, Danny,L,91.9,96.3,,89,,37.9,86.2
Ynoa, Huascar,R,91.9,99.2,,90.7,,29.7,
Alexy, A.J.,R,91.8,,,75.9,,39.9,96.7
Hendriks, Liam,R,91.7,,,,,16.3,54.6
Foster, Matt,R,91.7,,65.6,81.2,,26.7,
Wells, Alexander,L,91.7,,,90.4,,14.5,74.8
Eovaldi, Nathan,R,91.7,,51.4,,,31.3,74.7
Tapia, Domingo,R,91.6,97.2,,91.5,,26.8,
Ríos, Yacksel,R,91.6,97.3,,,,26.5,
Overton, Connor,R,91.6,94.2,,93.5,,11.8,
McGee, Jake,L,91.6,,,,,16.7,
Farmer, Buck,R,91.5,,,88.8,,12.2,
Detwiler, Ross,L,91.4,96.9,22.4,83.3,,,53
Hudson, Daniel,R,91.4,,,93.1,,22.9,
Kela, Keone,R,91.4,,,,,,45.4
Gant, John,R,91.2,94.9,25.4,78.4,,30,76.2
Pearson, Nate,R,91.2,,,,,29.7,
McClanahan, Shane,L,91.2,,,100,,22.7,61.1
Jackson, Luke,R,91.2,,,,,36.1,70.4
Rainey, Tanner,R,91.1,,,,,20.6,
Gonzales, Marco,L,91,94.8,60.4,86.3,,,72.5
Anderson, Drew,R,91,,,98.7,,20.7,76.5
Faria, Jake,R,91,,,,,19.7,91.4
Kremer, Dean,R,91,,40.2,86.7,,,90.8
Alcala, Jorge,R,91,97.2,,93.8,,24.4,
Gausman, Kevin,R,91,,,83.1,,14.5,
De Los Santos, Enyel,R,90.8,,,95,,13.3,
Miller, Shelby,R,90.8,,30,,,83.9,
Wells, Tyler,R,90.8,99.4,,95,,36.4,52.7
Abbott, Cory,R,90.8,,,85.9,,35.8,59.9
Pérez, Martín,L,90.7,97.7,47.2,89.3,,,39.1
Díaz, Edwin,R,90.6,,,,,23.3,
Long, Sam,L,90.6,,,80.5,,,70.7
Baldonado, Alberto,L,90.5,,,,,36.3,
Shreve, Chasen,L,90.4,,,,,39.8,
Holland, Derek,L,90.3,98.8,,89.3,,,19.5
Anderson, Ian,R,90.3,,,83.2,,,41.3
Mills, Wyatt,R,90.3,96,,,,27.8,
Harvey, Matt,R,90.2,98.7,,94.5,,26.5,67.6
Kikuchi, Yusei,L,90.2,,40.2,67.9,,25.2,
Gray, Jon,R,90.1,,,88.6,,21.2,75.7
Kriske, Brooks,R,90,,,,,,
Feliz, Michael,R,90,,,90.3,,37.4,
Howard, Spencer,R,90,100,34.9,85.3,,55.4,96.4
Devenski, Chris,R,89.9,,,83.9,,45.7,
Weathers, Ryan,L,89.9,97.8,,83.5,,25.4,
Whitlock, Garrett,R,89.9,97.9,,85.2,,25.3,
Phelps, David,R,89.9,100,64.1,,,,45.6
Megill, Tylor,R,89.8,,,87.6,,18.7,52
Clarke, Taylor,R,89.8,,,88.9,,20.8,
Rodón, Carlos,L,89.8,,,91.8,,41.6,54
Sims, Lucas,R,89.7,,,,,37.9,51.9
Patton, Spencer,R,89.7,,,,,64.7,
Lyles, Jordan,R,89.7,86.2,28.5,91.2,,47.7,79.4
Irvin, Cole,L,89.7,94.8,,82.7,,17.6,41.9
Detmers, Reid,L,89.6,,,,,22.8,91.7
Lambert, Jimmy,R,89.6,,,87.9,,37.8,
Snell, Blake,L,89.5,,,84.8,,23.8,83.4
Littell, Zack,R,89.5,,,,,31.6,
Bednar, David,R,89.5,,,,,,76.2
Jiménez, Joe,R,89.5,,,86.3,,22.1,
Neidert, Nick,R,89.5,,,92.3,,30.8,82.2
Ginkel, Kevin,R,89.4,,,,,28.3,
López, Reynaldo,R,89.4,,,82.9,,33.5,64.5
Coonrod, Sam,R,89.4,96.7,,86.6,,30.5,
Foltynewicz, Mike,R,89.4,96.3,,93.2,,28.6,51.1
Krehbiel, Joey,R,89.3,,37.6,82.9,,,
Thorpe, Lewis,L,89.3,,,86,,32,86.2
Cueto, Johnny,R,89.3,92.8,,73,,28.2,23.5
Estévez, Carlos,R,89.1,,,81.3,,29.3,
Duplantier, Jon,R,89.1,98.1,,92.8,,37,48.6
Bettinger, Alec,R,89,,,,,,79.1
Bass, Anthony,R,89,98.9,,,,31.1,
Merryweather, Julian,R,88.9,,,81.2,,13.5,93.8
Lange, Alex,R,88.8,,,93.6,,46.9,
Cortes, Nestor,L,88.8,87,36.5,86.3,,66.6,
Anderson, Nick,R,88.7,,,,,,18
Nolin, Sean,L,88.7,,31.9,90.9,,,86.2
Jefferies, Daulton,R,88.7,100,49.1,87,,,31.4
Darvish, Yu,R,88.7,90,27.9,,,73.5,80.6
Goudeau, Ashton,R,88.7,,,82.9,,,82.8
Espino, Paolo,R,88.6,,,75.2,,79.3,100
Kranick, Max,R,88.6,,,88.3,,39.4,46.9
López, Jorge,R,88.6,98.4,,90,,25,69.2
Javier, Cristian,R,88.6,,,88.9,,54.3,77.9
Vest, Will,R,88.5,,,85.7,,41.7,
Hernández, Carlos,R,88.5,,,,,23.9,59.9
DeSclafani, Anthony,R,88.5,94.3,,91.9,,29.3,51.3
Keller, Kyle,R,88.4,,,,,,47.7
Warren, Austin,R,88.4,96,,,,24.3,
Guerra, Javy,R,88.4,,,,,43.6,
Cabrera, Edward,R,88.4,,,96.2,,25.8,48.8
Thielbar, Caleb,L,88.3,,,,,67.2,93.9
Ray, Robbie,L,88.3,,,87,,30.6,13.8
Plutko, Adam,R,88.2,,44.7,,,28.6,70.4
Wieck, Brad,L,88.2,,,,,,92.5
Green, Chad,R,88.1,,,,,,45.8
Allard, Kolby,L,88.1,,26.9,91.2,,,59.3
Lugo, Seth,R,88.1,94.7,,86.4,,29.8,93.6
Abreu, Bryan,R,88.1,,,,,26.9,61.8
Anderson, Chase,R,88.1,98.7,40,98.9,,,85.4
Santillan, Tony,R,88,,,79.8,,62.4,
Brice, Austin,R,88,94.4,,,,,36.8
Ruiz, José,R,87.9,,,83.7,,,36.2
Iglesias, Raisel,R,87.9,91.3,,90.4,,42.9,
Severino, Luis,R,87.8,,,94.8,,45.4,
Gilbert, Logan,R,87.8,,,80.1,,37,53.2
Santos, Antonio,R,87.7,,,87.3,,,38.9
Weaver, Luke,R,87.7,,46.5,86.7,,,45.3
Staumont, Josh,R,87.7,90.2,,,,,78.2
Meisinger, Ryan,R,87.7,91.1,,,,20.2,
Hand, Brad,L,87.7,93.1,,,,80.6,
Smith, Will,L,87.7,,,,,32,63.5
Bradley, Archie,R,87.6,96.1,,85.9,,,71.6
Sawamura, Hirokazu,R,87.6,,,,,33.1,
Oviedo, Luis,R,87.6,,,88.1,,35,95.2
Arihara, Kohei,R,87.6,97,38.5,86.1,,30.3,
Peralta, Wily,R,87.5,94.8,,,,14.3,
Romano, Jordan,R,87.4,,,,,25.3,
deGrom, Jacob,R,87.4,,,82.7,,25.9,
Margevicius, Nick,L,87.4,,,,,,70.1
Bundy, Dylan,R,87.4,93.3,,87.6,,28.9,79.7
Colomé, Alex,R,87.3,,35,,,,
Zuber, Tyler,R,87.3,,,77.6,,41.3,74.6
Middleton, Keynan,R,87.3,,,76.1,,21.6,
Tepera, Ryan,R,87.2,94.3,,74.3,,25.5,
Gibaut, Ian,R,87.2,,,81.7,,27,
Krol, Ian,L,87.1,94.5,,83.8,,25.9,84.3
Peralta, Wandy,L,87.1,95.8,,86.9,,19.4,
Quantrill, Cal,R,87.1,95.9,28.9,83.5,,21,27.6
Scherzer, Max,R,87.1,,38,90.9,,23.2,72
Mize, Casey,R,87.1,94.6,,,,22.2,71.8
Gonsolin, Tony,R,87.1,,,,,27.1,74.2
Stripling, Ross,R,87,,,73.8,,32.1,69
Guerra, Junior,R,87,95.3,,,,33.2,53
Tomlin, Josh,R,87,,46.2,,,,42.2
Santana, Dennis,R,86.9,93.9,,89.8,,27.4,
Smith, Joe,R,86.9,95.5,,,,78.2,
Herget, Jimmy,R,86.9,92.4,,,,27.6,70.1
Bedrosian, Cam,R,86.9,,,,,42.7,
Sheffield, Jordan,R,86.8,,,93.1,,31.5,
Baumann, Mike,R,86.8,,,,,26.9,
Gutierrez, Vladimir,R,86.8,,,81.8,,46.1,79.4
Stock, Robert,R,86.8,,34.5,90.3,,49.1,
Klobosits, Gabe,R,86.7,,,,,19,
Álvarez, José,L,86.7,94.1,40.8,84.7,,28.8,
