last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Detwiler, Ross,L,96.8,96.5,,96.2,,16.3,
Pearson, Nate,R,96.8,,,84.4,,44.3,87
López, Jorge,R,96.8,96,,98.9,,,70.4
Dayton, Grant,L,96.8,98.4,,,,,75.4
Cody, Kyle,R,96.7,95.8,,96.9,,52.4,
Strahm, Matt,L,96.7,97.4,,94.5,,32.7,38.1
Anderson, Nick,R,96.7,,,,,,19.5
Jackson, Luke,R,96.6,,,,,43.6,72.2
Allen, Logan,L,96.6,,,98.2,,36.7,76.8
Nelson, Nick,R,96.5,,,99.2,,50.2,83.1
Pérez, Martín,L,96.5,96.4,61.8,99.6,,,45.5
Peralta, Wandy,L,96.5,95.8,,89.4,,29.3,
Wilson, Justin,L,96.5,,55.1,,,55.5,
Ryu, Hyun Jin,L,96.5,94.5,48.1,99.4,,,87.2
Tanaka, Masahiro,R,96.4,93.1,,,,13.6,57.9
Gant, John,R,96.4,95.5,,96.3,,20.1,82.9
Ferguson, Caleb,L,96.4,,24.4,,,,
Clevinger, Mike,R,96.4,,40.6,99.2,,38.2,64.9
Álvarez, José,L,96.3,96.6,,90,,37.8,
Berríos, José,R,96.3,97.6,,95.1,,,49.2
Oswalt, Corey,R,96.2,,,80.9,,45.7,
Hill, Tim,L,96.2,93.5,,,,39.6,
Phillips, Evan,R,96.2,,,75.6,,51.6,
Davis, Austin,L,96.2,,,95.9,,22.7,39.2
Hess, David,R,96.2,,,,,49.6,
LeBlanc, Wade,L,96.1,94.7,57.9,98.5,,,62.5
Ray, Robbie,L,96,96.3,,89,,33.3,20.9
Bashlor, Tyler,R,95.9,95.8,,95.7,,83.9,
Garcia, Rico,R,95.9,,,99.2,,,38.7
Bailey, Homer,R,95.9,,,,,38.9,89.6
Merryweather, Julian,R,95.8,,,97.3,,31.5,92.1
Johnson, Pierce,R,95.8,,,,,,59.2
Hill, Rich,L,95.8,93.2,45.5,,,83.5,93.2
Wittgren, Nick,R,95.8,,24.9,87.1,,25,
Luzardo, Jesús,L,95.7,94.4,,99.1,,,18.3
Anderson, Chase,R,95.7,95.8,45.4,99.6,,,96
Lyles, Jordan,R,95.7,91.8,,98.9,,34.9,77.9
Bedrosian, Cam,R,95.7,,,,,55.3,
Mears, Nick,R,95.7,,,,,,76.3
Bradley, Archie,R,95.6,95.4,,99,,,74.7
Kolarek, Adam,L,95.6,94.1,,99.7,,33.5,
Littell, Zack,R,95.5,,,,,55.5,
Mayers, Mike,R,95.4,,59.5,,,17.9,70.1
Staumont, Josh,R,95.4,90.6,,,,,87.6
Hart, Kyle,L,95.3,92.7,,98.4,,39.8,63.7
Quantrill, Cal,R,95.2,95.2,,94.9,,24.3,
Chafin, Andrew,L,95.2,93.9,,,,19.8,
Wojciechowski, Asher,R,95.2,,52.9,91.5,,68.2,78.1
Peña, Félix,R,95.2,96.8,,95.2,,17.2,
Hernández, Carlos,R,95.1,,,,,35,63.4
Brogdon, Connor,R,95.1,,68.4,98.9,,,
Quintana, José,L,95.1,93.7,,96.6,,,59.9
Claudio, Alex,L,95,94.9,,94.7,,32.2,
Drake, Oliver,R,95,,,,,,
Gerber, Joey,R,95,96.4,,,,35.3,
